Date,Open,High,Low,Close,20sma
2020-08-16,11852.40000000,12468.00000000,11686.00000000,11945.01000000,10201.802500000002
2020-08-19,11945.10000000,12020.08000000,11485.81000000,11531.34000000,10294.085000000001
2020-08-22,11531.23000000,11824.90000000,11376.81000000,11748.20000000,10419.020499999999
2020-08-25,11748.19000000,11767.85000000,11117.64000000,11330.38000000,10529.722
2020-08-28,11330.38000000,11719.00000000,11276.89000000,11711.16000000,10653.68
2020-08-31,11711.17000000,12050.85000000,11160.10000000,11388.54000000,10766.333999999999
2020-09-03,11388.54000000,11462.60000000,9825.00000000,10166.69000000,10811.799
2020-09-06,10166.69000000,10438.00000000,9850.00000000,10126.65000000,10853.7145
2020-09-09,10126.66000000,10483.35000000,9981.01000000,10387.89000000,10910.978
2020-09-12,10387.89000000,10750.00000000,10200.00000000,10671.77000000,10987.880500000001
2020-09-15,10671.77000000,11093.00000000,10606.48000000,10939.99000000,11074.430499999999
2020-09-18,10940.00000000,11179.79000000,10723.00000000,10920.28000000,11144.536499999998
2020-09-21,10920.28000000,10988.86000000,10136.82000000,10241.46000000,11171.588500000002
2020-09-24,10241.46000000,10820.94000000,10190.93000000,10728.60000000,11162.704999999998
2020-09-27,10728.59000000,10950.00000000,10594.82000000,10840.48000000,11137.956
2020-09-30,10840.58000000,10920.00000000,10374.00000000,10570.40000000,11105.485499999999
2020-10-03,10570.40000000,10798.00000000,10496.46000000,10792.21000000,11056.973
2020-10-06,10792.20000000,10950.00000000,10525.00000000,10925.57000000,11019.1675
2020-10-09,10925.44000000,11491.00000000,10829.00000000,11369.02000000,11009.402
2020-10-12,11369.02000000,11720.01000000,11172.00000000,11417.89000000,10987.6765
2020-10-15,11417.89000000,11617.34000000,11200.00000000,11360.20000000,10958.436
2020-10-18,11360.31000000,12038.38000000,11346.22000000,11909.99000000,10977.3685
2020-10-21,11910.00000000,13217.68000000,11886.95000000,12923.07000000,11036.112
2020-10-24,12923.06000000,13350.00000000,12765.00000000,13052.19000000,11122.202500000001
2020-10-27,13052.15000000,13859.48000000,12888.00000000,13455.70000000,11209.4295
2020-10-30,13455.69000000,14100.00000000,13115.00000000,13761.50000000,11328.0775
2020-11-02,13761.49000000,14259.00000000,13195.05000000,14144.01000000,11526.9435
2020-11-05,14144.01000000,15960.00000000,14093.56000000,14818.30000000,11761.526
2020-11-08,14818.30000000,15840.00000000,14703.88000000,15297.21000000,12006.992
2020-11-11,15297.21000000,16480.00000000,15272.68000000,16320.70000000,12289.4385
2020-11-14,16320.04000000,16880.00000000,15670.00000000,16713.57000000,12578.1175
2020-11-17,16713.08000000,18476.93000000,16538.00000000,17802.82000000,12922.2445
2020-11-20,17802.81000000,18965.90000000,17610.86000000,18414.43000000,13330.893
2020-11-23,18413.88000000,19484.21000000,18000.00000000,18719.11000000,13730.4185
2020-11-26,18718.83000000,18915.03000000,16188.00000000,17719.85000000,14074.387000000002
2020-11-29,17719.84000000,19888.00000000,17517.00000000,18764.96000000,14484.115
2020-12-02,18764.96000000,19598.00000000,18330.00000000,18650.52000000,14877.030499999999
2020-12-05,18650.51000000,19420.91000000,18500.00000000,19166.90000000,15289.097
2020-12-08,19166.90000000,19294.84000000,17650.00000000,18254.63000000,15633.377500000002
2020-12-11,18254.81000000,19411.00000000,17572.33000000,19174.99000000,16021.232500000002
2020-12-14,19174.99000000,21560.00000000,19000.00000000,21335.52000000,16519.998499999998
2020-12-17,21335.52000000,24171.47000000,21230.00000000,23821.61000000,17115.5795
2020-12-20,23821.60000000,24295.00000000,21815.00000000,23810.79000000,17659.9655
2020-12-23,23810.79000000,24789.86000000,22600.00000000,24712.47000000,18242.979499999998
2020-12-26,24712.47000000,28422.00000000,24500.00000000,27079.41000000,18924.165
2020-12-29,27079.42000000,29300.00000000,25880.00000000,28923.63000000,19682.2715
2021-01-01,28923.63000000,34778.11000000,28624.57000000,33000.05000000,20625.073500000002
2021-01-04,33000.05000000,36939.21000000,28130.00000000,36769.36000000,21722.6265
2021-01-07,36769.36000000,41950.00000000,36300.00000000,40088.22000000,22962.177000000003
2021-01-10,40088.22000000,41350.00000000,30420.00000000,34051.24000000,23848.704
2021-01-13,34049.15000000,40100.00000000,32380.00000000,36742.22000000,24850.1365
2021-01-16,36737.43000000,37950.00000000,33850.00000000,36631.27000000,25791.559
2021-01-19,36622.46000000,37850.00000000,30071.00000000,30850.13000000,26413.344
2021-01-22,30851.99000000,33826.53000000,28850.00000000,32259.90000000,27090.383500000004
2021-01-25,32259.45000000,34875.00000000,29241.72000000,30366.15000000,27722.6985
2021-01-28,30362.19000000,38531.90000000,29842.10000000,34262.88000000,28497.5945
2021-01-31,34262.89000000,35984.33000000,32171.67000000,35466.24000000,29338.3805
2021-02-03,35472.71000000,38708.27000000,35362.38000000,38290.24000000,30294.547499999997
2021-02-06,38289.32000000,46794.45000000,37351.00000000,46374.87000000,31700.559499999996
2021-02-09,46374.86000000,48678.90000000,43727.00000000,47969.51000000,33140.2855
2021-02-12,47968.66000000,49707.43000000,46125.00000000,48577.79000000,34502.399
2021-02-15,48580.47000000,52618.74000000,45570.79000000,52119.71000000,35917.304
2021-02-18,52117.67000000,57700.46000000,50710.20000000,55841.19000000,37518.82400000001
2021-02-21,55841.19000000,58352.80000000,44892.56000000,48891.00000000,38727.7505
2021-02-24,48891.00000000,52041.73000000,44106.78000000,46276.87000000,39687.6235
2021-02-27,46276.88000000,49790.00000000,43000.00000000,49587.03000000,40720.79350000001
2021-03-02,49595.76000000,52640.00000000,47047.60000000,48374.09000000,41489.495500000005
2021-03-05,48374.09000000,51450.03000000,46300.00000000,50971.75000000,42199.615000000005
2021-03-08,50959.11000000,57387.69000000,49274.67000000,55851.59000000,42987.783500000005
2021-03-11,55851.59000000,61844.00000000,54272.82000000,61188.39000000,44344.640999999996
2021-03-14,61188.38000000,61724.79000000,53271.34000000,56900.75000000,45352.5675
2021-03-17,56900.74000000,60129.97000000,54123.69000000,58030.01000000,46422.504499999995
2021-03-20,58030.01000000,59880.00000000,53650.00000000,54083.25000000,47584.1605
2021-03-23,54083.25000000,57200.00000000,50427.56000000,51293.78000000,48535.8545
2021-03-26,51293.78000000,56700.36000000,51214.60000000,55777.63000000,49806.4285
